P2_F9;MB0423A2;SPY222552_09;Magdalena;teleo
P2_F10;MB0423A2;SPY222552_10;Magdalena;teleo
P2_F11;MB0423A2;SPY222552_11;Magdalena;teleo
P2_F12;MB0423A2;SPY222552_12;Magdalena;teleo
P2_G1;MB0423A2;SPY222556_01;Magdalena;teleo
P2_G2;MB0423A2;SPY222556_02;Magdalena;teleo
P2_G3;MB0423A2;SPY222556_03;Magdalena;teleo
P2_G4;MB0423A2;SPY222556_04;Magdalena;teleo
P2_G5;MB0423A2;SPY222556_05;Magdalena;teleo
P2_G6;MB0423A2;SPY222556_06;Magdalena;teleo
P2_G7;MB0423A2;SPY222556_07;Magdalena;teleo
P2_G8;MB0423A2;SPY222556_08;Magdalena;teleo
P2_G9;MB0423A2;SPY222556_09;Magdalena;teleo
P2_G10;MB0423A2;SPY222556_10;Magdalena;teleo
P2_G11;MB0423A2;SPY222556_11;Magdalena;teleo
P2_G12;MB0423A2;SPY222556_12;Magdalena;teleo
P2_H1;MB0423A2;OTHER03_01;Other;teleo
P2_H2;MB0423A2;OTHER03_02;Other;teleo
P2_H3;MB0423A2;OTHER03_03;Other;teleo
P2_H4;MB0423A2;OTHER03_04;Other;teleo
P2_H5;MB0423A2;OTHER03_05;Other;teleo
P2_H6;MB0423A2;OTHER03_06;Other;teleo
P2_H7;MB0423A2;OTHER03_07;Other;teleo
P2_H8;MB0423A2;OTHER03_08;Other;teleo
P2_H9;MB0423A2;OTHER03_09;Other;teleo
P2_H10;MB0423A2;OTHER03_10;Other;teleo
P2_H11;MB0423A2;OTHER03_11;Other;teleo
P2_H12;MB0423A2;OTHER03_12;Other;teleo
P4_A1;MB0423A2;SPY222559_01;Magdalena;teleo
P4_A2;MB0423A2;SPY222559_02;Magdalena;teleo
P4_A3;MB0423A2;SPY222559_03;Magdalena;teleo
P4_A4;MB0423A2;SPY222559_04;Magdalena;teleo
P4_A5;MB0423A2;SPY222559_05;Magdalena;teleo
P4_A6;MB0423A2;SPY222559_06;Magdalena;teleo
P4_A7;MB0423A2;SPY222559_07;Magdalena;teleo
P4_A8;MB0423A2;SPY222559_08;Magdalena;teleo
P4_A9;MB0423A2;SPY222559_09;Magdalena;teleo
P4_A10;MB0423A2;SPY222559_10;Magdalena;teleo
P4_A11;MB0423A2;SPY222559_11;Magdalena;teleo
P4_A12;MB0423A2;SPY222559_12;Magdalena;teleo
P4_B1;MB0423A2;SPY222562_01;Magdalena;teleo
P4_B2;MB0423A2;SPY222562_02;Magdalena;teleo
P4_B3;MB0423A2;SPY222562_03;Magdalena;teleo
P4_B4;MB0423A2;SPY222562_04;Magdalena;teleo
P4_B5;MB0423A2;SPY222562_05;Magdalena;teleo
P4_B6;MB0423A2;SPY222562_06;Magdalena;teleo
P4_B7;MB0423A2;SPY222562_07;Magdalena;teleo
P4_B8;MB0423A2;SPY222562_08;Magdalena;teleo
P4_B9;MB0423A2;SPY222562_09;Magdalena;teleo
P4_B10;MB0423A2;SPY222562_10;Magdalena;teleo
P4_B11;MB0423A2;SPY222562_11;Magdalena;teleo
P4_B12;MB0423A2;SPY222562_12;Magdalena;teleo
P4_C1;MB0423A2;SPY222565_01;Magdalena;teleo
P4_C2;MB0423A2;SPY222565_02;Magdalena;teleo
P4_C3;MB0423A2;SPY222565_03;Magdalena;teleo
P4_C4;MB0423A2;SPY222565_04;Magdalena;teleo
P4_C5;MB0423A2;SPY222565_05;Magdalena;teleo
P4_C6;MB0423A2;SPY222565_06;Magdalena;teleo
P4_C7;MB0423A2;SPY222565_07;Magdalena;teleo
P4_C8;MB0423A2;SPY222565_08;Magdalena;teleo
P4_C9;MB0423A2;SPY222565_09;Magdalena;teleo
P4_C10;MB0423A2;SPY222565_10;Magdalena;teleo
P4_C11;MB0423A2;SPY222565_11;Magdalena;teleo
P4_C12;MB0423A2;SPY222565_12;Magdalena;teleo
P4_D1;MB0423A2;SPY222569_01;Magdalena;teleo
P4_D2;MB0423A2;SPY222569_02;Magdalena;teleo
P4_D3;MB0423A2;SPY222569_03;Magdalena;teleo
