"phylum","class","order","family","genus","species","acceptedScientificName","taxonomicStatus","iucnRedListCategory","decimalLatitude","decimalLongitude","issues"
"Chordata","Aves","Apodiformes","Apodidae","Streptoprocne","Streptoprocne zonaris","Streptoprocne zonaris (Shaw, 1796)","ACCEPTED","LC",8.151617,-73.5916,"cdc"
"Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes aura","Cathartes aura (Linnaeus, 1758)","ACCEPTED","LC",8.151617,-73.5916,"cdc"
"Chordata","Aves","Accipitriformes","Cathartidae","Cathartes","Cathartes burrovianus","Cathartes burrovianus Cassin, 1845","ACCEPTED","LC",8.151617,-73.5916,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Bubulcus","Bubulcus ibis","Bubulcus ibis (Linnaeus, 1758)","ACCEPTED","LC",8.151617,-73.5916,"cdc"
"Chordata","Aves","Accipitriformes","Accipitridae","Buteogallus","Buteogallus meridionalis","Buteogallus meridionalis (Latham, 1790)","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Apodiformes","Trochilidae","Chrysuronia","Chrysuronia goudoti","Chrysuronia goudoti (Bourcier, 1843)","ACCEPTED","NE",9.398791,-74.31626,"cdc"
"Chordata","Aves","Psittaciformes","Psittacidae","Aratinga","Aratinga pertinax","Aratinga pertinax (Linnaeus, 1758)","SYNONYM","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Passeriformes","Tyrannidae","Tolmomyias","Tolmomyias flaviventris","Tolmomyias flaviventris (Wied-Neuwied, 1831)","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Theristicus","Theristicus caudatus","Theristicus caudatus (Boddaert, 1783)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Tigrisoma","Tigrisoma lineatum","Tigrisoma lineatum (Boddaert, 1783)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Passeriformes","Thraupidae","Thraupis","Thraupis episcopus","Thraupis episcopus (Linnaeus, 1766)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Passeriformes","Hirundinidae","Progne","Progne tapera","Progne tapera (Linnaeus, 1766)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus savana","Tyrannus savana Vieillot, 1808","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Pelecaniformes","Threskiornithidae","Phimosus","Phimosus infuscatus","Phimosus infuscatus (Lichtenstein, 1823)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Passeriformes","Tyrannidae","Tyrannus","Tyrannus dominicensis","Tyrannus dominicensis (Gmelin, 1788)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Pelecaniformes","Ardeidae","Ardea","Ardea cocoi","Ardea cocoi Linnaeus, 1766","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Charadriiformes","Laridae","Phaetusa","Phaetusa simplex","Phaetusa simplex (J.F.Gmelin, 1789)","ACCEPTED","LC",9.320629,-74.57557,"cdc"
"Chordata","Aves","Passeriformes","Tyrannidae","Camptostoma","Camptostoma obsoletum","Camptostoma obsoletum (Temminck, 1824)","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Passeriformes","Furnariidae","Furnarius","Furnarius longirostris","Furnarius longirostris Pelzeln, 1856","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Falconiformes","Falconidae","Falco","Falco sparverius","Falco sparverius Linnaeus, 1758","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Passeriformes","Furnariidae","Xiphorhynchus","Xiphorhynchus picus","Xiphorhynchus picus (Gmelin, 1788)","SYNONYM","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Columbiformes","Columbidae","Columbina","Columbina talpacoti","Columbina talpacoti (Temminck, 1810)","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Accipitriformes","Accipitridae","Rupornis","Rupornis magnirostris","Rupornis magnirostris (Gmelin, 1788)","ACCEPTED","LC",9.398791,-74.31626,"cdc"
"Chordata","Aves","Columbiformes","Columbidae","Columbina","Columbina squammata","Columbina squammata (R.Lesson, 1831)","ACCEPTED","LC",9.398791,-74.31626,"cdc"
